"filename", "language", "JSON with Comments", "TypeScript React", "JSON", "TypeScript", "JavaScript", "SCSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"d:\Coding\JavaScript\spotube\.idea\discord.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"d:\Coding\JavaScript\spotube\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"d:\Coding\JavaScript\spotube\.idea\spotube.iml", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 12
"d:\Coding\JavaScript\spotube\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"d:\Coding\JavaScript\spotube\.idea\workspace.xml", "XML", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 39
"d:\Coding\JavaScript\spotube\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 9, 42
"d:\Coding\JavaScript\spotube\package-lock.json", "JSON", 0, 0, 52763, 0, 0, 0, 0, 0, 0, 0, 1, 52764
"d:\Coding\JavaScript\spotube\package.json", "JSON", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 1, 79
"d:\Coding\JavaScript\spotube\postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\Coding\JavaScript\spotube\public\electron.js", "JavaScript", 0, 0, 0, 0, 199, 0, 0, 0, 0, 30, 29, 258
"d:\Coding\JavaScript\spotube\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"d:\Coding\JavaScript\spotube\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\Coding\JavaScript\spotube\src\App.scss", "SCSS", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"d:\Coding\JavaScript\spotube\src\App.test.tsx", "TypeScript React", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Coding\JavaScript\spotube\src\App.tsx", "TypeScript React", 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"d:\Coding\JavaScript\spotube\src\Routes.tsx", "TypeScript React", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"d:\Coding\JavaScript\spotube\src\components\playlist-view\PlaylistView.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
